dataset,TimeSpan,Time,Mean,Median,Lower Quartile,Upper Quartile,Standard Deviation,No of Codons
CP,1996,1996,0,0,0,0,0,0
CP,2000-2001,2000.5,1.543691632,1.044135204,0,2.604675162,1.692135873,568
CP,2002-2003,2002.5,2.151045733,1.676453148,0,3.495016388,2.18251002,568
CP,2004-2005,2004.5,2.532962274,1.970808771,0,4.184057959,2.51703654,568
CP,2006-2007,2006.5,4.916940447,4.720691273,2.387326772,7.077506229,3.29808043,568
CP,2008-2009,2008.5,6.731943693,6.659340415,4.224496643,9.084117795,3.54783099,568
CP,2010,2010,13.72633033,13.69644901,10.60224464,16.75896697,4.802340267,568
CP,2011,2011,13.0746249,13.12262072,9.8431833,15.92072709,4.707110957,568
CP,2012,2012,10.58019829,10.52966433,7.814906739,13.25451631,4.002605025,568
CP,2013,2013,12.87513324,12.85909593,9.678840395,15.90736158,4.629565403,568
CP,2014,2014,16.57113353,16.46230058,12.13982547,20.90463315,6.484174331,568
CP,2015,2015,18.07933188,17.89731694,13.55364409,22.5644268,6.883525999,568
CP,2016,2016,13.80687051,13.71157805,9.0609929,18.30456158,6.917820683,568
CP,2017,2017,13.04518011,12.86586136,8.028961284,17.6486512,7.033359637,568
CP,2018,2018,10.15294361,9.679887045,5.443732399,14.52108051,6.50417825,568
CP,2019,2019,16.43707585,16.00903509,11.20747614,21.37812483,7.485852338,568
